fov_id,original_fov_location,2D_fov_tiff_path
898,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,2D_fov_tiff_path/5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff
899,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,2D_fov_tiff_path/9a39c522_5500000013_63X_20190807_S1_P10_B2_annotations_corrected.tiff
900,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,2D_fov_tiff_path/6cd724cc_5500000013_63X_20190807_S1_P11_B2_annotations_corrected.tiff
901,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,2D_fov_tiff_path/9e678ccd_5500000013_63X_20190807_S1_P12_B2_annotations_corrected.tiff
902,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,2D_fov_tiff_path/88557011_5500000013_63X_20190807_S1_P13_B2_annotations_corrected.tiff
903,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,2D_fov_tiff_path/2a560451_5500000013_63X_20190807_S1_P14_B2_annotations_corrected.tiff
904,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,2D_fov_tiff_path/4ad78e4b_5500000013_63X_20190807_S1_P15_B2_annotations_corrected.tiff
905,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 16,2D_fov_tiff_path/d50bf418_5500000013_63X_20190807_S1_P16_B2_annotations_corrected.tiff
906,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 17,2D_fov_tiff_path/ef919605_5500000013_63X_20190807_S1_P17_B2_annotations_corrected.tiff
907,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 18,2D_fov_tiff_path/53fc9ec5_5500000013_63X_20190807_S1_P18_B2_annotations_corrected.tiff
908,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 19,2D_fov_tiff_path/4dd72e9f_5500000013_63X_20190807_S1_P19_B2_annotations_corrected.tiff
909,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 2,2D_fov_tiff_path/f26a1f02_5500000013_63X_20190807_S1_P2_B2_annotations_corrected.tiff
910,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 20,2D_fov_tiff_path/160724ea_5500000013_63X_20190807_S1_P20_B2_annotations_corrected.tiff
911,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 21,2D_fov_tiff_path/e0182d48_5500000013_63X_20190807_S1_P21_B2_annotations_corrected.tiff
912,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 22,2D_fov_tiff_path/81008100_5500000013_63X_20190807_S1_P22_B2_annotations_corrected.tiff
913,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 23,2D_fov_tiff_path/c73105dd_5500000013_63X_20190807_S1_P23_B2_annotations_corrected.tiff
914,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 24,2D_fov_tiff_path/f5c8768f_5500000013_63X_20190807_S1_P24_B2_annotations_corrected.tiff
915,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 25,2D_fov_tiff_path/ebac4c6c_5500000013_63X_20190807_S1_P25_B2_annotations_corrected.tiff
916,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 26,2D_fov_tiff_path/294a93d1_5500000013_63X_20190807_S1_P26_B2_annotations_corrected.tiff
917,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 27,2D_fov_tiff_path/44f4f5f8_5500000013_63X_20190807_S1_P27_B2_annotations_corrected.tiff
918,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 28,2D_fov_tiff_path/f7c5ab09_5500000013_63X_20190807_S1_P28_B2_annotations_corrected.tiff
919,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 29,2D_fov_tiff_path/7f97420f_5500000013_63X_20190807_S1_P29_B2_annotations_corrected.tiff
920,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 3,2D_fov_tiff_path/679ed9d7_5500000013_63X_20190807_S1_P3_B2_annotations_corrected.tiff
921,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 30,2D_fov_tiff_path/31f8996c_5500000013_63X_20190807_S1_P30_B2_annotations_corrected.tiff
922,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 4,2D_fov_tiff_path/1d2b530c_5500000013_63X_20190807_S1_P4_B2_annotations_corrected.tiff
923,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 5,2D_fov_tiff_path/e0c8c87a_5500000013_63X_20190807_S1_P5_B2_annotations_corrected.tiff
924,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 6,2D_fov_tiff_path/1c9df1a0_5500000013_63X_20190807_S1_P6_B2_annotations_corrected.tiff
925,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 7,2D_fov_tiff_path/8937ee46_5500000013_63X_20190807_S1_P7_B2_annotations_corrected.tiff
926,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 8,2D_fov_tiff_path/1349b268_5500000013_63X_20190807_S1_P8_B2_annotations_corrected.tiff
927,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 9,2D_fov_tiff_path/89a99afe_5500000013_63X_20190807_S1_P9_B2_annotations_corrected.tiff
928,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B3 [144] Montage - 1,2D_fov_tiff_path/44dd7433_5500000013_63X_20190807_S1_P1_B3_annotations_corrected.tiff
