epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,80,0.2178,0.473,0.4997,0.0267,0.0719,0.8076,496023,9e-05,True,
2,80,0.1905,0.5462,0.5557,0.0095,0.1721,0.7019,48011,6.5e-05,True,
3,80,0.1568,0.6616,0.6669,0.0053,0.3851,0.8056,93329,3.5e-05,True,
4,80,0.1484,0.629,0.634,0.005,0.3082,0.7522,50876,1e-05,False,
5,80,0.1447,0.6702,0.6745,0.0043,0.3905,0.7952,73359,0.0001,True,
6,80,0.1462,0.6907,0.6936,0.0029,0.4259,0.8156,88440,9.8e-05,True,
7,80,0.1424,0.6917,0.6949,0.0032,0.4309,0.8164,85791,9e-05,True,
8,80,0.1392,0.6483,0.6512,0.0029,0.3432,0.7504,40530,7.9e-05,False,
9,80,0.1362,0.7129,0.7139,0.0011,0.479,0.8211,85841,6.5e-05,True,
10,80,0.1347,0.7008,0.7014,0.0006,0.4436,0.7978,60244,5e-05,False,
11,80,0.133,0.6859,0.6863,0.0005,0.4126,0.7787,49219,3.5e-05,False,
12,80,0.1304,0.7047,0.7051,0.0004,0.4497,0.7979,56311,2.1e-05,False,
13,80,0.1302,0.7102,0.7107,0.0004,0.4668,0.8033,59747,1e-05,False,
14,80,0.1294,0.7023,0.7026,0.0004,0.4523,0.7922,53459,2e-06,False,
15,80,0.1288,0.7041,0.7044,0.0004,0.4609,0.7947,54136,0.0001,False,
16,80,0.1325,0.6952,0.6956,0.0004,0.4213,0.786,54715,9.9e-05,False,
17,80,0.1321,0.6932,0.6938,0.0005,0.415,0.7826,50412,9.8e-05,False,
18,80,0.1315,0.6862,0.6865,0.0004,0.3901,0.7724,44414,9.5e-05,False,
19,80,0.1298,0.7026,0.7026,0.0,0.4462,0.7887,51945,9e-05,False,
20,80,0.1291,0.7169,0.7174,0.0004,0.4674,0.8061,63451,8.5e-05,False,
21,80,0.1304,0.7166,0.7169,0.0002,0.4724,0.8028,58221,7.9e-05,False,
22,80,0.1286,0.7315,0.7317,0.0003,0.5059,0.8217,70588,7.3e-05,True,
23,80,0.1278,0.7041,0.7044,0.0003,0.442,0.7852,48461,6.5e-05,False,
24,80,0.1268,0.6986,0.6988,0.0003,0.4284,0.7752,43700,5.8e-05,False,
25,80,0.1272,0.711,0.7112,0.0002,0.4535,0.7913,51170,5e-05,False,
26,80,0.1256,0.7141,0.7141,0.0,0.4724,0.796,52820,4.2e-05,False,
27,80,0.1252,0.7066,0.7066,0.0,0.4525,0.7856,48008,3.5e-05,False,
28,80,0.1249,0.7287,0.7287,0.0,0.5035,0.8131,60923,2.7e-05,False,
29,80,0.1244,0.7172,0.7175,0.0003,0.4791,0.7984,52495,2.1e-05,False,
30,80,0.1242,0.7182,0.7183,0.0001,0.4845,0.7989,52044,1.5e-05,False,
31,80,0.1243,0.7223,0.7223,0.0,0.4928,0.8033,53516,1e-05,False,
32,80,0.1241,0.7188,0.719,0.0001,0.4843,0.7995,52693,5e-06,False,
33,80,0.124,0.7199,0.72,0.0,0.486,0.7999,52148,2e-06,False,
