epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,50,0.5381,0.4248,0.4608,0.036,0.0885,0.6926,183126,9e-05,True,
2,50,0.4291,0.5143,0.5208,0.0065,0.1516,0.6594,51565,6.5e-05,True,
3,50,0.3491,0.5334,0.5413,0.0079,0.1684,0.6377,27698,3.5e-05,True,
4,50,0.3234,0.6113,0.6167,0.0054,0.3044,0.7162,48970,1e-05,True,
5,50,0.3124,0.6273,0.6329,0.0055,0.3344,0.7278,50610,0.0001,True,
6,50,0.3201,0.6472,0.6512,0.004,0.3782,0.7442,62567,9.8e-05,True,
7,50,0.3147,0.6392,0.6445,0.0054,0.3621,0.7477,66178,9e-05,False,
8,50,0.3104,0.6475,0.6514,0.0039,0.3821,0.7427,55320,7.9e-05,True,
9,50,0.3036,0.6387,0.6424,0.0037,0.3533,0.7191,42323,6.5e-05,False,
10,50,0.2973,0.6474,0.6502,0.0028,0.3657,0.7254,42829,5e-05,False,
11,50,0.2933,0.6716,0.6745,0.0028,0.4307,0.7567,58321,3.5e-05,True,
12,50,0.2906,0.6488,0.6511,0.0023,0.3712,0.7212,40843,2.1e-05,False,
13,50,0.2852,0.6494,0.6519,0.0025,0.3685,0.7209,38952,1e-05,False,
14,50,0.2848,0.6588,0.6612,0.0024,0.4021,0.7318,42581,2e-06,False,
15,50,0.2819,0.6586,0.6611,0.0025,0.4028,0.7315,42656,0.0001,False,
16,50,0.295,0.6669,0.6698,0.003,0.4143,0.7517,57126,9.9e-05,False,
17,50,0.2948,0.6522,0.6546,0.0024,0.3806,0.7278,45103,9.8e-05,False,
18,50,0.2942,0.6581,0.6615,0.0035,0.3932,0.7298,43642,9.5e-05,False,
19,50,0.2885,0.6482,0.6513,0.0031,0.3713,0.7207,38740,9e-05,False,
20,50,0.2881,0.675,0.6776,0.0026,0.4322,0.7467,49536,8.5e-05,True,
21,50,0.2857,0.6469,0.6489,0.0019,0.3611,0.7148,38298,7.9e-05,False,
22,50,0.2858,0.6511,0.6525,0.0015,0.3615,0.7111,34984,7.3e-05,False,
23,50,0.2814,0.6762,0.6784,0.0022,0.4411,0.7436,45013,6.5e-05,True,
24,50,0.2807,0.675,0.6774,0.0024,0.438,0.7438,47422,5.8e-05,False,
25,50,0.2825,0.6738,0.6759,0.0022,0.4353,0.7376,43061,5e-05,False,
26,50,0.2784,0.6405,0.6426,0.0021,0.3384,0.7009,31863,4.2e-05,False,
27,50,0.2778,0.6825,0.6848,0.0022,0.4541,0.7497,48959,3.5e-05,True,
28,50,0.2774,0.6608,0.6624,0.0016,0.4004,0.7195,35722,2.7e-05,False,
29,50,0.2749,0.6671,0.6687,0.0017,0.418,0.7274,37921,2.1e-05,False,
30,50,0.2731,0.6595,0.6612,0.0017,0.4003,0.7191,35395,1.5e-05,False,
31,50,0.2708,0.6738,0.6754,0.0017,0.4353,0.7348,40366,1e-05,False,
32,50,0.2725,0.6814,0.6832,0.0019,0.4516,0.744,43507,5e-06,False,
33,50,0.2741,0.6767,0.6785,0.0018,0.4437,0.7369,40870,2e-06,False,
34,50,0.2699,0.6751,0.6769,0.0018,0.4377,0.7349,39872,1e-06,False,
35,50,0.2737,0.6758,0.6775,0.0018,0.4409,0.7358,40227,0.0001,False,
36,50,0.2818,0.6625,0.6645,0.002,0.3975,0.7222,38432,0.0001,False,
37,50,0.2841,0.6825,0.6846,0.0021,0.4542,0.7577,56227,9.9e-05,True,
38,50,0.2825,0.6807,0.683,0.0023,0.4409,0.7473,46612,9.9e-05,False,
39,50,0.2788,0.6839,0.6857,0.0018,0.4572,0.752,50686,9.8e-05,True,
40,50,0.2789,0.6682,0.6703,0.0021,0.4136,0.729,39935,9.6e-05,False,
41,50,0.276,0.6594,0.6609,0.0015,0.3838,0.7202,37959,9.5e-05,False,
42,50,0.2807,0.6789,0.6809,0.002,0.44,0.7421,45677,9.3e-05,False,
43,50,0.278,0.6582,0.66,0.0018,0.381,0.7182,37083,9e-05,False,
44,50,0.2764,0.648,0.6499,0.0019,0.3512,0.7022,31914,8.8e-05,False,
45,50,0.2762,0.6706,0.6724,0.0018,0.4276,0.729,38578,8.5e-05,False,
46,50,0.2772,0.6861,0.6882,0.0021,0.4627,0.751,49859,8.2e-05,True,
47,50,0.2763,0.6842,0.6863,0.0021,0.454,0.7475,46392,7.9e-05,False,
48,50,0.2759,0.6561,0.6579,0.0018,0.3723,0.7109,33345,7.6e-05,False,
49,50,0.2758,0.6927,0.6948,0.0021,0.475,0.7585,51644,7.3e-05,True,
50,50,0.2748,0.672,0.6738,0.0018,0.4263,0.7323,40875,6.9e-05,False,
