epoch,total_epochs,train_loss,val_bm_dice,val_bm_cov,val_gap,val_pq,val_sem_dice,val_conflict,lr,is_best_pq,wall_hours
1,80,0.1261,0.7045,0.7047,0.0003,0.4383,0.788,51343,9e-05,True,
2,80,0.1301,0.7331,0.7331,0.0,0.5046,0.8309,85948,6.5e-05,True,
3,80,0.1288,0.7062,0.7065,0.0003,0.4432,0.7889,50398,3.5e-05,False,
6,80,0.1287,0.7139,0.714,0.0002,0.4653,0.7991,57218,9.8e-05,False,
8,80,0.1265,0.7077,0.7077,0.0,0.4471,0.7955,58329,7.9e-05,False,
10,80,0.123,0.7254,0.7254,0.0,0.4933,0.81,61243,5e-05,False,
11,80,0.1216,0.7038,0.7038,0.0,0.4425,0.7798,43512,3.5e-05,False,
12,80,0.1233,0.7204,0.7204,0.0,0.4853,0.8014,53055,2.1e-05,False,
13,80,0.1242,0.7222,0.7222,0.0,0.4944,0.801,51706,1e-05,False,
14,80,0.123,0.723,0.7231,0.0,0.4913,0.8033,52325,2e-06,False,
15,80,0.1202,0.7236,0.7236,0.0,0.4922,0.8023,51692,0.0001,False,
16,80,0.1315,0.7113,0.7114,0.0001,0.4643,0.7908,50248,9.9e-05,False,
17,80,0.132,0.7294,0.7294,0.0,0.4973,0.8177,64756,9.8e-05,False,
