,Xcoord,Ycoord,Label,Zcoord,ImageName
0,1023,1418,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
1,1012,1439,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
2,988,1429,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
3,999,1411,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
4,992,1385,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
5,979,1378,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
6,953,1363,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
7,928,1368,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
8,944,1376,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
9,945,1344,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
10,988,1361,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
11,984,1416,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
12,912,1349,C0_diffuse_other,11,5500000118_63x_20190618_Capture1-Capture2-C2[144]Montage-6
13,578,1432,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
14,596,1446,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
15,626,1444,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
16,603,1463,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
17,585,1453,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
18,598,1487,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
19,495,1542,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
20,497,1521,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
21,545,1513,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
22,521,1528,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
23,502,1569,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
24,299,878,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
25,328,897,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
26,347,884,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
27,368,896,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
28,370,939,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
29,313,926,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
30,276,909,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
31,284,943,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
32,303,948,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
33,293,989,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
34,303,1044,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
35,334,1039,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
36,322,1027,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
37,375,1004,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
38,356,1028,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
39,315,994,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
40,332,1000,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
41,914,490,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
42,943,488,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
43,909,498,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
44,888,517,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
45,907,543,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
46,921,567,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
47,964,561,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
48,969,541,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
49,945,520,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
50,929,510,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
51,924,541,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
52,945,563,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
53,945,545,C0_diffuse_other,2,5500000102_63x_20190604_Capture1-Capture1-C2[144]Montage-13
54,95,688,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
55,114,663,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
56,145,652,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
57,111,699,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
58,109,720,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
59,135,723,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
60,164,732,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
61,169,704,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
62,145,709,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
63,150,682,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
64,166,680,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
65,122,685,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
66,138,683,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
67,133,706,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
68,124,730,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
69,276,819,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
70,300,819,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
71,275,833,C0_diffuse_other,4,5500000105_63x_20190528_Capture1-Capture1-C2[144]Montage-3
