sample_id,bm_1to1_dice,bm_coverage_dice,gap_dice,pq,sq,rq,tp,fp,fn,aji,semantic_dice,n_gt_cells,n_pred_cells,conflict_pixels
4aabecf8_5500000013_63X_20190807_S2_P14_C5,0.7330145848143319,0.7330145848143319,0.0,0.49963301958344836,0.599559623500138,0.8333333333333334,10,2,2,0.5802339400074719,0.7734407782554626,12,12,30598
86fc464a_5500000014_63X_20190816_S1_P24_B4,0.6227912454163562,0.622954660130217,0.00016341471386083217,0.4586057312243228,0.5961874505916196,0.7692307692307693,5,1,2,0.30338610743893646,0.5840944647789001,7,6,3649
603fd457_5500000013_63X_20190807_S1_P22_B4,0.6897968925991632,0.6897968925991632,0.0,0.341788073265904,0.5696467887765067,0.6,6,4,4,0.5307064859132666,0.7860608100891113,10,10,116366
9a6f399d_5500000014_63X_20190816_S2_P3_C4,0.6184687651382633,0.6213371006373659,0.0028683354991025922,0.3734946096020816,0.5913664652032958,0.631578947368421,6,3,4,0.33440264487731275,0.6875113248825073,10,9,49494
ec54b718_5500000014_63X_20190816_S2_P18_C4,0.669608508739772,0.6868862337383572,0.017277724998585264,0.4608198108894746,0.6528280654267556,0.7058823529411765,6,2,3,0.36969877981095145,0.6957452893257141,9,8,28734
9e821f25_5500000014_63X_20190816_S1_P21_B3,0.5385641530042959,0.5413536790407523,0.0027895260364563246,0.18768563833848792,0.5317759752923824,0.35294117647058826,3,5,6,0.2748272894094141,0.7359318137168884,9,8,134682
f0235e31_5500000014_63X_20190816_S1_P2_B5,0.4573264978458111,0.48552531869311444,0.028198820847303352,0.3454321183537793,0.6908642367075586,0.5,2,1,3,0.08071052239513388,0.4457859992980957,5,3,0
a5a08baa_5500000014_63X_20190816_S1_P20_B2,0.7401064176671364,0.7401064176671364,0.0,0.5077385805036445,0.6092862966043734,0.8333333333333334,5,1,1,0.583572321494206,0.7714418172836304,6,6,418
6950dfc1_5500000013_63X_20190807_S2_P30_C3,0.6567531582194164,0.6567531582194164,0.0,0.4001178244742929,0.6401885191588687,0.625,5,3,3,0.49463821356337384,0.8237004280090332,8,8,92607
baf23a3e_5500000013_63X_20190807_S2_P15_C5,0.7387314229915772,0.7387314229915772,0.0,0.5063649732286074,0.6329562165357592,0.8,8,2,2,0.5921871483308261,0.7657579779624939,10,10,24135
bf2b8972_5500000014_63X_20190816_S1_P6_B2,0.7503173345525163,0.7503173345525163,0.0,0.5316195572677455,0.6497572366605777,0.8181818181818182,9,2,2,0.6218021986769057,0.8661417365074158,11,11,70501
3dadabec_5500000014_63X_20190816_S1_P6_B5,0.6278410714103587,0.627858188835898,1.7117425539225906e-05,0.42599713625636787,0.6123708833685289,0.6956521739130435,8,3,4,0.5317316211545134,0.7824380993843079,12,11,102051
7ba9fe22_5500000014_63X_20190816_S1_P17_B3,0.7507401358184023,0.7507401358184023,0.0,0.6037805162956803,0.6037805162956803,1.0,8,0,0,0.5893784266409915,0.8392329216003418,8,8,27156
ee3416ec_5500000013_63X_20190807_S1_P26_B3,0.6260060834533783,0.6582229319438417,0.03221684849046347,0.48074094098420145,0.6009261762302518,0.8,6,1,2,0.3943852309173243,0.7392005920410156,8,7,12129
b0a983cc_5500000014_63X_20190816_S1_P7_B4,0.7254794425545744,0.7254794425545744,0.0,0.4482082239908891,0.6162863079874725,0.7272727272727273,8,3,3,0.57420934899804,0.8536357879638672,11,11,65735
b139b821_5500000013_63X_20190807_S2_P23_C3,0.6677103737533091,0.6677103737533091,0.0,0.383762964160185,0.6199247882587604,0.6190476190476191,13,8,8,0.5194938971285263,0.8457951545715332,21,21,134355
fffd016d_5500000014_63X_20190816_S2_P25_C5,0.7408701409832202,0.7408701409832202,0.0,0.5213574945529171,0.6256289934635005,0.8333333333333334,15,3,3,0.6076010302356818,0.8587786555290222,18,18,134556
160724ea_5500000013_63X_20190807_S1_P20_B2,0.7086466399773844,0.7086466399773844,0.0,0.40473398602820204,0.6295862004883143,0.6428571428571429,9,5,5,0.5806283969865117,0.8435104489326477,14,14,73620
ed2c8e23_5500000014_63X_20190816_S2_P7_C3,0.7147398966208167,0.7147398966208167,0.0,0.476628960949665,0.63550528126622,0.75,6,2,2,0.5397869733245273,0.7971669435501099,8,8,40676
495da58d_5500000013_63X_20190807_S1_P2_B3,0.7312055984212132,0.7312055984212132,0.0,0.511542860674806,0.5968000041206071,0.8571428571428571,6,1,1,0.5726055886359991,0.751619279384613,7,7,5800
1194e093_5500000013_63X_20190807_S2_P11_C2,0.7300877751074643,0.7300877751074643,0.0,0.5170007381716126,0.61393837657879,0.8421052631578947,16,3,3,0.5799147728754445,0.84393310546875,19,19,115242
92dbf0f6_5500000014_63X_20190816_S1_P3_B2,0.8408541291482272,0.8409406679357688,8.653878754161237e-05,0.7254083806814962,0.7254083806814962,1.0,1,0,0,0.7254083806814962,0.8408541083335876,1,1,0
f291b1be_5500000014_63X_20190816_S1_P27_B3,0.39313057581446353,0.39313057581446353,0.0,0.4318876035260756,0.6478314052891134,0.6666666666666666,2,0,2,0.15117089722433108,0.26263850927352905,4,2,0
3a48403c_5500000013_63X_20190807_S2_P13_C3,0.7041274397848373,0.7041274397848373,0.0,0.4086826211823691,0.6538921938917905,0.625,10,6,6,0.5544971031193511,0.7965289950370789,16,16,126053
