sample_id,bm_1to1_dice,bm_coverage_dice,gap_dice,pq,sq,rq,tp,fp,fn,aji,semantic_dice,n_gt_cells,n_pred_cells,conflict_pixels
4aabecf8_5500000013_63X_20190807_S2_P14_C5,0.4993584295651181,0.4993584295651181,0.0,0.14447413348783664,0.5778965339513465,0.25,3,9,9,0.3539494524332279,0.5917027592658997,12,12,19650
86fc464a_5500000014_63X_20190816_S1_P24_B4,0.561921295854428,0.5624650172878135,0.0005437214333855467,0.3403986278796168,0.5531477703043772,0.6153846153846154,4,2,3,0.2681825487006083,0.555950939655304,7,6,2680
603fd457_5500000013_63X_20190807_S1_P22_B4,0.6854973925045593,0.6854973925045593,0.0,0.3448577679934586,0.5747629466557643,0.6,6,4,4,0.5266940675641337,0.7957484722137451,10,10,97281
9a6f399d_5500000014_63X_20190816_S2_P3_C4,0.5475128143805413,0.569984683727208,0.022471869346666673,0.20871554217595717,0.6261466265278716,0.3333333333333333,3,5,7,0.2550473377197835,0.6817083358764648,10,8,34895
ec54b718_5500000014_63X_20190816_S2_P18_C4,0.5647402328447089,0.5896819860167766,0.024941753172067704,0.41488226883529494,0.5877498808500011,0.7058823529411765,6,2,3,0.35363421462201383,0.6579897403717041,9,8,16019
9e821f25_5500000014_63X_20190816_S1_P21_B3,0.4503907203008124,0.4534342263659469,0.0030435060651344825,0.06670861257333685,0.5670232068733633,0.11764705882352941,1,7,8,0.255404846800912,0.6534963250160217,9,8,123312
f0235e31_5500000014_63X_20190816_S1_P2_B5,0.4110892843149826,0.4414629881311498,0.03037370381616722,0.2897043346416226,0.5794086692832452,0.5,2,1,3,0.14412231552208268,0.4510938227176666,5,3,3151
a5a08baa_5500000014_63X_20190816_S1_P20_B2,0.6845636424612694,0.6845636424612694,0.0,0.3915753932462958,0.5873630898694437,0.6666666666666666,4,2,2,0.5233124700332865,0.7360370755195618,6,6,9442
6950dfc1_5500000013_63X_20190807_S2_P30_C3,0.6152035427951521,0.6177837992935274,0.002580256498375344,0.3880308197433169,0.620849311589307,0.625,5,3,3,0.4532439799302019,0.8053721785545349,8,8,85317
baf23a3e_5500000013_63X_20190807_S2_P15_C5,0.7023408508452194,0.7023408508452194,0.0,0.4432444782259445,0.633206397465635,0.7,7,3,3,0.5954743221032386,0.7692419290542603,10,10,10788
bf2b8972_5500000014_63X_20190816_S1_P6_B2,0.6925801261549266,0.6925801261549266,0.0,0.42020138336035606,0.5777769021204896,0.7272727272727273,8,3,3,0.5492970474383045,0.8193679451942444,11,11,78990
3dadabec_5500000014_63X_20190816_S1_P6_B5,0.4733877028003249,0.48485818621990484,0.011470483419579958,0.1826436071401447,0.525100370527916,0.34782608695652173,4,7,8,0.1984372630123086,0.733299970626831,12,11,117351
7ba9fe22_5500000014_63X_20190816_S1_P17_B3,0.6013805467614206,0.6081585960332307,0.006778049271810138,0.35458413731812866,0.5673346197090059,0.625,5,3,3,0.4948518042867082,0.7723508477210999,8,8,53824
ee3416ec_5500000013_63X_20190807_S1_P26_B3,0.5866846830638204,0.6191332376441507,0.03244855458033036,0.328253043084358,0.6154744557831713,0.5333333333333333,4,3,4,0.3758856517735057,0.7385867238044739,8,7,29429
b0a983cc_5500000014_63X_20190816_S1_P7_B4,0.6445508523483922,0.6564903220138075,0.01193946966541537,0.37050531778419443,0.5822226422323056,0.6363636363636364,7,4,4,0.46189402580623246,0.8477025628089905,11,11,89477
b139b821_5500000013_63X_20190807_S2_P23_C3,0.520794702935816,0.5506181286604818,0.029823425724665786,0.18954763233256394,0.5551037804025086,0.34146341463414637,7,13,14,0.4017378629071995,0.8248224258422852,21,20,181625
