sample_id,bm_1to1_dice,bm_coverage_dice,gap_dice,pq,sq,rq,tp,fp,fn,aji,semantic_dice,n_gt_cells,n_pred_cells,conflict_pixels
4aabecf8_5500000013_63X_20190807_S2_P14_C5,0.12823314330400484,0.13198602551548966,0.003752882211484815,0.0,0.0,0.0,0,12,12,0.060281850681310735,0.20075879991054535,12,12,31938
86fc464a_5500000014_63X_20190816_S1_P24_B4,0.11238861735072865,0.1158537614076156,0.003465144056886943,0.0,0.0,0.0,0,6,7,0.026564575008485736,0.12562234699726105,7,6,13361
603fd457_5500000013_63X_20190807_S1_P22_B4,0.10545581361857,0.13057881852911277,0.02512300491054277,0.0,0.0,0.0,0,10,10,0.048871782066663226,0.24723030626773834,10,10,59031
9a6f399d_5500000014_63X_20190816_S2_P3_C4,0.0887015805902037,0.10802037255122436,0.019318791961020668,0.0,0.0,0.0,0,9,10,0.02881184199643114,0.17807352542877197,10,9,32100
ec54b718_5500000014_63X_20190816_S2_P18_C4,0.11935570239221462,0.15181999563748766,0.03246429324527304,0.0,0.0,0.0,0,8,9,0.046143497005152426,0.20922571420669556,9,8,28723
9e821f25_5500000014_63X_20190816_S1_P21_B3,0.07365811266993601,0.09422865435401663,0.020570541684080623,0.0,0.0,0.0,0,8,9,0.029028886013158395,0.21119429171085358,9,8,69935
f0235e31_5500000014_63X_20190816_S1_P2_B5,0.1082159646499942,0.12709280953602384,0.018876844886029642,0.0,0.0,0.0,0,3,5,0.023641042384591332,0.13237252831459045,5,3,10269
a5a08baa_5500000014_63X_20190816_S1_P20_B2,0.1434947718502583,0.1434947718502583,0.0,0.0,0.0,0.0,0,6,6,0.08069794849082786,0.19093626737594604,6,6,8360
6950dfc1_5500000013_63X_20190807_S2_P30_C3,0.09007479485517147,0.14026476698722928,0.05018997213205781,0.0,0.0,0.0,0,8,8,0.026696541367720684,0.24737441539764404,8,8,58345
baf23a3e_5500000013_63X_20190807_S2_P15_C5,0.14134429491989914,0.14610638349817479,0.004762088578275647,0.0,0.0,0.0,0,10,10,0.06239802224969009,0.21487809717655182,10,10,37392
bf2b8972_5500000014_63X_20190816_S1_P6_B2,0.10445650815866614,0.1125718203693879,0.008115312210721759,0.0,0.0,0.0,0,11,11,0.055908394641167695,0.2113490253686905,11,11,52999
3dadabec_5500000014_63X_20190816_S1_P6_B5,0.10063251150329577,0.12403880223795494,0.023406290734659163,0.0,0.0,0.0,0,12,12,0.05092060384304405,0.22173897922039032,12,12,43146
7ba9fe22_5500000014_63X_20190816_S1_P17_B3,0.11585029902795839,0.11760809219773874,0.00175779316978035,0.0,0.0,0.0,0,8,8,0.051451324764330925,0.21454671025276184,8,8,38018
ee3416ec_5500000013_63X_20190807_S1_P26_B3,0.11158865338847371,0.12782846974849377,0.01623981636002006,0.0,0.0,0.0,0,7,8,0.04922227079337635,0.21742476522922516,8,7,48194
b0a983cc_5500000014_63X_20190816_S1_P7_B4,0.10559831772173332,0.12409228846056757,0.018493970738834242,0.0,0.0,0.0,0,11,11,0.04457492568344566,0.23845252394676208,11,11,60265
b139b821_5500000013_63X_20190807_S2_P23_C3,0.08369872784270313,0.11952584969562054,0.03582712185291741,0.0,0.0,0.0,0,21,21,0.03732552927838818,0.2632831037044525,21,21,84797
fffd016d_5500000014_63X_20190816_S2_P25_C5,0.105224831491775,0.13499618422491938,0.02977135273314438,0.0,0.0,0.0,0,18,18,0.02959532853384286,0.2734000086784363,18,18,81348
160724ea_5500000013_63X_20190807_S1_P20_B2,0.11929938968768687,0.14853301523399204,0.029233625546305167,0.0,0.0,0.0,0,13,14,0.03403481456421384,0.22569505870342255,14,13,43815
ed2c8e23_5500000014_63X_20190816_S2_P7_C3,0.13381013956702614,0.13539103188668303,0.0015808923196568847,0.0,0.0,0.0,0,8,8,0.0733781678839717,0.26383787393569946,8,8,41656
495da58d_5500000013_63X_20190807_S1_P2_B3,0.11154840677776245,0.11414110672961124,0.002592699951848784,0.0,0.0,0.0,0,7,7,0.06345111932954049,0.1504831612110138,7,7,20493
1194e093_5500000013_63X_20190807_S2_P11_C2,0.09115797818225126,0.11969787252540356,0.02853989434315231,0.0,0.0,0.0,0,19,19,0.02819615599168285,0.23297780752182007,19,19,70615
92dbf0f6_5500000014_63X_20190816_S1_P3_B2,0.14154293092311912,0.0026618936160435714,-0.13888103730707554,0.0,0.0,0.0,0,1,1,0.07616152844113062,0.1415429264307022,1,1,0
f291b1be_5500000014_63X_20190816_S1_P27_B3,0.10420730658579211,0.10771725911186894,0.0035099525260768316,0.0,0.0,0.0,0,2,4,0.0009485450513644215,0.05968000739812851,4,2,2450
3a48403c_5500000013_63X_20190807_S2_P13_C3,0.08411034883698681,0.10326724499897248,0.019156896161985668,0.0,0.0,0.0,0,16,16,0.039612629438326344,0.21784061193466187,16,16,52713
3a3cf60a_5500000014_63X_20190816_S2_P14_C4,0.09130736113200857,0.11272473490579157,0.021417373773783,0.0,0.0,0.0,0,9,10,0.025251339951158858,0.15887302160263062,10,9,31382
47977cd9_5500000014_63X_20190816_S2_P25_C4,0.1143129823377862,0.13494627974327167,0.020633297405485473,0.0,0.0,0.0,0,9,9,0.05892910926279931,0.2153247743844986,9,9,43247
b2fdc028_5500000014_63X_20190816_S2_P22_C3,0.10783446483923784,0.13633278081071376,0.028498315971475924,0.0,0.0,0.0,0,15,15,0.04666074377687733,0.25796204805374146,15,15,76949
3db25077_5500000014_63X_20190816_S1_P25_B4,0.09549466975917652,0.12167486241703544,0.026180192657858925,0.0,0.0,0.0,0,20,20,0.039849047703283964,0.22442607581615448,20,20,67463
7c2b444b_5500000014_63X_20190816_S1_P10_B3,0.11110693569952863,0.13632295144481732,0.025216015745288686,0.0,0.0,0.0,0,9,10,0.036945833620020095,0.18813180923461914,10,9,31294
f87c5a49_5500000014_63X_20190816_S1_P19_B5,0.17299466536848848,0.17639012718276534,0.0033954618142768567,0.0,0.0,0.0,0,6,6,0.0731626103765659,0.21988873183727264,6,6,22801
